year,archive,contact,project,type,size,lat,long,obs.exp,treatment,treat.year,tract,site,plot,nbasket,bask.area,foliar.gcm2,nonfoliar.gcm2,total.gcm2,notes
2006,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,221.29,NA,NA,9 baskets averaged
2006,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,268.445,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,201.37,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,201.48,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,198.26,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,211.92,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,301.09,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,181.805,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,305.68,NA,NA,9 baskets averaged
2007,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,271,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,232.695,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,251.675,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,244.16,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,229.775,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,241.38,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,248.835,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,365.12,NA,NA,9 baskets averaged
2008,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,367.195,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,203.16,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,230,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,223.755,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HNS,1988-ongoing,PH,mixed hardwood,HNS,9,0.2345,220.12,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,conifer,900,42.54,-72.18,obs,PC,NA,PH,red pine plantation,PC,9,0.2345,211.65,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PH,1988-2005,PH,red pine plantation,PH,9,0.2345,176.195,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PL,1988-2009,PH,red pine plantation,PL,9,0.2345,157.205,NA,NA,9 baskets averaged
2009,hf008,frey,chronicN,conifer,900,42.54,-72.18,exp,PNS,1988-2009,PH,red pine plantation,PNS,9,0.2345,211.15,NA,NA,9 baskets averaged
2010,hf008,frey,chronicN,hardwood,900,42.54,-72.18,obs,HC,NA,PH,mixed hardwood,HC,9,0.2345,236.94,NA,NA,9 baskets averaged
2010,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HH,1988-ongoing,PH,mixed hardwood,HH,9,0.2345,248.475,NA,NA,9 baskets averaged
2010,hf008,frey,chronicN,hardwood,900,42.54,-72.18,exp,HL,1988-ongoing,PH,mixed hardwood,HL,9,0.2345,239.785,NA,NA,9 baskets averaged
