year,project,archive,contact,type,plot,lat,long,obs.exp,treatment,treat.year,tract,transect,distance.m,size.class,count,d2q,a,dens,volume,mass
2013,phveg,hf271,barker.plotkin,AcerBetula,93,42.53535963,-72.19159369,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,93,42.53535963,-72.19159369,obs,NA,NA,prospect hill,1,3,1,18,0.000172,1.11,0.39,0.001413142,551.1254229
2013,phveg,hf271,barker.plotkin,AcerBetula,93,42.53535963,-72.19159369,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,93,42.53535963,-72.19159369,obs,NA,NA,prospect hill,2,3,1,2,0.000172,1.11,0.39,0.000157016,61.2361581
2013,phveg,hf271,barker.plotkin,AcerBetula,97,42.54110484,-72.1704863,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,97,42.54110484,-72.1704863,obs,NA,NA,prospect hill,1,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,97,42.54110484,-72.1704863,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,97,42.54110484,-72.1704863,obs,NA,NA,prospect hill,2,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,99,42.53046325,-72.18309847,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,99,42.53046325,-72.18309847,obs,NA,NA,prospect hill,1,3,1,8,0.000172,1.11,0.39,0.000628063,244.9446324
2013,phveg,hf271,barker.plotkin,AcerBetula,99,42.53046325,-72.18309847,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,99,42.53046325,-72.18309847,obs,NA,NA,prospect hill,2,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,Pinus,101,42.53578367,-72.19021864,obs,NA,NA,prospect hill,1,3,1,7,0.000187,1.13,0.395,0.000611174,241.4138969
2013,phveg,hf271,barker.plotkin,Pinus,101,42.53578367,-72.19021864,obs,NA,NA,prospect hill,1,3,2,0,0.001656,1.13,0.397,0,0
2013,phveg,hf271,barker.plotkin,Pinus,101,42.53578367,-72.19021864,obs,NA,NA,prospect hill,2,3,1,5,0.000187,1.13,0.395,0.000436553,172.4384978
2013,phveg,hf271,barker.plotkin,Pinus,101,42.53578367,-72.19021864,obs,NA,NA,prospect hill,2,3,2,0,0.001656,1.13,0.397,0,0
2013,phveg,hf271,barker.plotkin,Tsuga,106,42.54272271,-72.18781714,obs,NA,NA,prospect hill,1,3,1,2,0.000154,1.13,0.387,0.000143117,55.38625901
2013,phveg,hf271,barker.plotkin,Tsuga,106,42.54272271,-72.18781714,obs,NA,NA,prospect hill,1,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,Tsuga,106,42.54272271,-72.18781714,obs,NA,NA,prospect hill,2,3,1,8,0.000154,1.13,0.387,0.000572468,221.545036
2013,phveg,hf271,barker.plotkin,Tsuga,106,42.54272271,-72.18781714,obs,NA,NA,prospect hill,2,3,2,3,0.00189,1.13,0.389,0.002634653,1024.879983
2013,phveg,hf271,barker.plotkin,AcerBetula,111,42.54221971,-72.18438593,obs,NA,NA,prospect hill,1,3,2,2,0.001758,1.03,0.342,0.001489183,509.3005022
2013,phveg,hf271,barker.plotkin,AcerBetula,111,42.54221971,-72.18438593,obs,NA,NA,prospect hill,1,3,1,15,0.000172,1.11,0.39,0.001177618,459.2711858
2013,phveg,hf271,barker.plotkin,AcerBetula,111,42.54221971,-72.18438593,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,111,42.54221971,-72.18438593,obs,NA,NA,prospect hill,2,3,1,13,0.000172,1.11,0.39,0.001020603,398.0350277
