arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
santee_constant,SANTEE,18,7,56,62.1,21.2,0.0
santee_constant,SANTEE,29,10,56,48.0,0.4,0.0
santee_constant,SANTEE,23,1,57,39.1,5.8,0.0
santee_constant,SANTEE,3,2,57,59.7,12.1,0.0
santee_constant,SANTEE,15,7,57,58.2,15.1,0.0
santee_constant,SANTEE,16,7,57,60.0,37.7,0.0
santee_constant,SANTEE,6,8,57,78.6,32.3,0.0
santee_constant,SANTEE,13,8,57,65.4,14.5,0.0
santee_constant,SANTEE,5,11,57,21.7,28.8,0.0
santee_constant,SANTEE,29,12,57,84.9,51.9,0.0
santee_constant,SANTEE,11,3,58,73.4,16.7,0.0
santee_constant,SANTEE,14,3,58,71.5,22.7,0.0
santee_constant,SANTEE,16,7,58,60.0,21.9,0.0
santee_constant,SANTEE,26,8,58,51.8,8.6,0.0
santee_constant,SANTEE,5,10,58,70.6,14.3,0.0
santee_constant,SANTEE,5,5,59,54.1,9.2,0.0
santee_constant,SANTEE,27,5,59,50.0,5.6,0.0
